Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.002
Vertical Position,-0.26
,
,
,
Label,
TIME,CH2
-9.2240e-04,0.00184969
-9.2220e-04,0.0018275
-9.2200e-04,0.00195375
-9.2180e-04,0.00173625
-9.2160e-04,0.00177219
-9.2140e-04,0.00186844
-9.2120e-04,0.00162594
-9.2100e-04,0.00180094
-9.2080e-04,0.00161469
-9.2060e-04,0.00160438
-9.2040e-04,0.00150469
-9.2020e-04,0.00178156
-9.2000e-04,0.0016925
-9.1980e-04,0.00186688
-9.1960e-04,0.00164
-9.1940e-04,0.00178563
-9.1920e-04,0.00184125
-9.1900e-04,0.00178594
-9.1880e-04,0.00198813
-9.1860e-04,0.00185969
-9.1840e-04,0.00175781
-9.1820e-04,0.0018475
-9.1800e-04,0.00161688
-9.1780e-04,0.001705
-9.1760e-04,0.00175125
-9.1740e-04,0.00189688
-9.1720e-04,0.00158469
-9.1700e-04,0.0018425
-9.1680e-04,0.00146938
-9.1660e-04,0.00188125
-9.1640e-04,0.00164969
-9.1620e-04,0.00197969
-9.1600e-04,0.00183156
-9.1580e-04,0.00183625
-9.1560e-04,0.00144188
-9.1540e-04,0.00189719
-9.1520e-04,0.0015425
-9.1500e-04,0.00197594
-9.1480e-04,0.00177281
-9.1460e-04,0.00178031
-9.1440e-04,0.00172281
-9.1420e-04,0.00157281
-9.1400e-04,0.00185281
-9.1380e-04,0.00179125
-9.1360e-04,0.00169188
-9.1340e-04,0.00164469
-9.1320e-04,0.00176781
-9.1300e-04,0.00200969
-9.1280e-04,0.00195594
-9.1260e-04,0.0017175
-9.1240e-04,0.0017175
-9.1220e-04,0.00193875
-9.1200e-04,0.00183688
-9.1180e-04,0.0018225
-9.1160e-04,0.00175688
-9.1140e-04,0.001715
-9.1120e-04,0.00172594
-9.1100e-04,0.00188031
-9.1080e-04,0.00190969
-9.1060e-04,0.00169781
-9.1040e-04,0.00189
-9.1020e-04,0.00204813
-9.1000e-04,0.00189938
-9.0980e-04,0.00188688
-9.0960e-04,0.00218688
-9.0940e-04,0.00187313
-9.0920e-04,0.0019525
-9.0900e-04,0.00177531
-9.0880e-04,0.001835
-9.0860e-04,0.00186719
-9.0840e-04,0.00191281
-9.0820e-04,0.00173938
-9.0800e-04,0.00165906
-9.0780e-04,0.00177969
-9.0760e-04,0.00203656
-9.0740e-04,0.00158938
-9.0720e-04,0.00168781
-9.0700e-04,0.00169438
-9.0680e-04,0.00171594
-9.0660e-04,0.00169594
-9.0640e-04,0.00178063
-9.0620e-04,0.00168594
-9.0600e-04,0.0016825
-9.0580e-04,0.00163813
-9.0560e-04,0.00203781
-9.0540e-04,0.00177219
-9.0520e-04,0.00194656
-9.0500e-04,0.00182656
-9.0480e-04,0.00186313
-9.0460e-04,0.00166375
-9.0440e-04,0.001955
